,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,MEAN_WITHIN_BATCH_CV,MEDIAN_WITHIN_BATCH_CV,ACROSS_BATCH_CV,NUM_CONTROLS_DETECTED,PERCENT_CONTROLS_DETECTED,TOTAL_CONTROLS,NUM_SAMPLES_DETECTED,PERCENT_SAMPLES_DETECTED,TOTAL_SAMPLES
35,252,TCA Cycle,Energy,succinate,110-15-6,C00042,HMDB00254,1110.0,0.178203166800404,0.0778384003163668,2.62036800342952,358.0,0.952127659574468,376.0,3495,0.948697068403909,3684
36,254,Ketone Bodies,Lipid,3-hydroxybutyrate (BHBA),625-72-9,C01089,HMDB00357,441.0,0.0609368845953645,0.0556759949355697,0.2640973712883,352.0,0.936170212765957,376.0,3510,0.952768729641694,3684
37,266,Sterol,Lipid,cholesterol,57-88-5,C00187,HMDB00067,11025495.0,0.12587735821126,0.0970932584372978,0.136100594426562,351.0,0.933510638297872,376.0,3509,0.952497285559175,3684
38,267,Phospholipid Metabolism,Lipid,choline phosphate,72556-74-2,C00588,HMDB01565,1014.0,0.086574458286163,0.0806919228736248,0.127656300839117,352.0,0.936170212765957,376.0,3497,0.949239956568947,3684
39,272,Steroid,Lipid,corticosterone,50-22-6,C02140,HMDB01547,5753.0,0.124942029198995,0.129035713489342,0.188151876290284,338.0,0.898936170212766,376.0,2366,0.642236699239957,3684
40,273,Steroid,Lipid,cortisone,53-06-5,C00762,HMDB02802,222786.0,0.0641522530535316,0.0592223402515283,0.119072201021049,345.0,0.917553191489362,376.0,3470,0.941910966340934,3684
41,275,Creatine Metabolism,Amino Acid,creatinine,60-27-5,C00791,HMDB00562,588.0,0.0376449818765059,0.0379696215912083,0.0431335194294733,355.0,0.944148936170213,376.0,3496,0.948968512486428,3684
42,278,Glutathione Metabolism,Amino Acid,cysteinylglycine,19246-18-5,C01419,HMDB00078,439498.0,0.189072480454925,0.179247442243048,0.311555979476218,341.0,0.906914893617021,376.0,3288,0.892508143322475,3684
43,279,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,cystine,56-89-3,C00491,HMDB00192,67678.0,0.270760716593536,0.208525121960594,1.11949240103584,351.0,0.933510638297872,376.0,3451,0.936753528773073,3684
44,297,Sphingolipid Metabolism,Lipid,sphingosine,123-78-4,C00319,HMDB00252,5353955.0,0.0963368381158157,0.0723404526360193,0.26643554452365,353.0,0.938829787234043,376.0,3483,0.945439739413681,3684
45,302,Secondary Bile Acid Metabolism,Lipid,deoxycholate,83-44-3,C04483,HMDB00626,222528.0,0.120235024419349,0.113428609071715,0.164712214604489,349.0,0.928191489361702,376.0,3212,0.871878393051032,3684
46,310,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,cystathionine,535-34-2,C02291,HMDB00099,439258.0,0.160769216516876,0.156164805254203,0.211060050547316,311.0,0.827127659574468,376.0,2722,0.738870792616721,3684
47,313,Sphingolipid Metabolism,Lipid,sphinganine,3102-56-5,C00836,HMDB00269,3126.0,0.0953380598257404,0.0776791936555568,0.245465732163157,344.0,0.914893617021277,376.0,3438,0.933224755700326,3684
48,327,Riboflavin Metabolism,Cofactors and Vitamins,flavin adenine dinucleotide (FAD),146-14-5;84366-81-4,C00016,HMDB01248,643975.0,0.148967662224203,0.134110646060677,0.165074227274301,262.0,0.696808510638298,376.0,2471,0.670738327904452,3684
49,330,TCA Cycle,Energy,fumarate,100-17-8,C00122,HMDB00134,444972.0,0.0700335556431808,0.0541833602342736,0.158039432008689,345.0,0.917553191489362,376.0,3478,0.944082519001086,3684
50,331,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylglutamate,1116-22-9,C05282,HMDB11737,92865.0,0.213484290283909,0.196969081416104,0.266258273510848,327.0,0.86968085106383,376.0,3326,0.902823018458198,3684
51,338,Food Component/Plant,Xenobiotics,gluconate,527-07-1,C00257,HMDB00625,10690.0,0.161140284139072,0.113011682342345,0.347592510991836,348.0,0.925531914893617,376.0,3513,0.953583061889251,3684
52,339,Lysine Metabolism,Amino Acid,glutarate (C5-DC),110-94-1,C00489,HMDB00661,743.0,0.157165759544759,0.131496627983206,0.209283325430565,341.0,0.906914893617021,376.0,3229,0.876492942453855,3684
53,340,"Glycine, Serine and Threonine Metabolism",Amino Acid,glycine,56-40-6,C00037,HMDB00123,750.0,0.045150415598614,0.0390946036412745,0.0634888281574826,353.0,0.938829787234043,376.0,3505,0.951411509229099,3684
54,342,Primary Bile Acid Metabolism,Lipid,glycocholate,475-31-0;863-57-0,C01921,HMDB00138,10140.0,0.0691202157778544,0.0595596275311821,0.2311910633088,351.0,0.933510638297872,376.0,3515,0.954125950054289,3684
55,344,Creatine Metabolism,Amino Acid,guanidinoacetate,352-97-6,C00581,HMDB00128,763.0,0.179428574102797,0.165295292027854,0.225029536838237,354.0,0.941489361702128,376.0,3469,0.941639522258415,3684
56,355,Histidine Metabolism,Amino Acid,histidine,5934-29-2,C00135,HMDB00177,6274.0,0.0841567367032666,0.0504708194969444,0.141172977401763,355.0,0.944148936170213,376.0,3502,0.950597176981542,3684
57,356,Steroid,Lipid,cortisol,50-23-7,C00735,HMDB00063,5754.0,0.0613503454177765,0.0572072645768582,0.0905673903350272,349.0,0.928191489361702,376.0,3505,0.951411509229099,3684
58,358,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,hypotaurine,300-84-5,C00519,HMDB00965,107812.0,0.216468452530273,0.179189179689419,0.265523841777171,271.0,0.720744680851064,376.0,2786,0.756243213897937,3684
59,361,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,inosine,58-63-9,C00294,HMDB00195,6021.0,0.143583217253496,0.127238921594873,0.272012685002267,343.0,0.912234042553191,376.0,3201,0.868892508143323,3684
60,363,Inositol Metabolism,Lipid,myo-inositol,87-89-8,C00137,HMDB00211,892.0,0.156308896004247,0.101687597362818,0.248750309095209,354.0,0.941489361702128,376.0,3496,0.948968512486428,3684
61,376,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,isoleucine,73-32-5,C00407,HMDB00172,6306.0,0.0413396084770561,0.0369363030376994,0.051487376863425,342.0,0.909574468085106,376.0,3502,0.950597176981542,3684
62,381,Lysine Metabolism,Amino Acid,2-aminoadipate,542-32-5;1118-90-7,C00956,HMDB00510,469.0,0.211320572072309,0.210214522484563,0.228231783246397,236.0,0.627659574468085,376.0,2088,0.566775244299674,3684
63,391,Urea cycle; Arginine and Proline Metabolism,Amino Acid,citrulline,372-75-8,C00327,HMDB00904,9750.0,0.0952471177572561,0.076388957332338,0.113062739583624,351.0,0.933510638297872,376.0,3499,0.949782844733985,3684
64,393,Disaccharides and Oligosaccharides,Carbohydrate,lactose,5965-66-2,C00243,HMDB00186,84571.0,0.230147298557199,0.205864106869696,0.38300683428103,35.0,0.0930851063829787,376.0,407,0.110477741585233,3684
65,397,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,leucine,61-90-5,C00123,HMDB00687,6106.0,0.0431262827669491,0.0388805754655073,0.052789559264247,348.0,0.925531914893617,376.0,3512,0.953311617806732,3684
66,407,Lysine Metabolism,Amino Acid,lysine,56-87-1,C00047,HMDB00182,5962.0,0.0436693881477822,0.0434118994720427,0.0517361692123187,347.0,0.922872340425532,376.0,3511,0.953040173724213,3684
67,409,TCA Cycle,Energy,malate,6915-15-7,C00149,HMDB00156,525.0,0.0416611985550574,0.0396312151992703,0.068489447990229,342.0,0.909574468085106,376.0,3513,0.953583061889251,3684
68,415,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,methionine,63-68-3,C00073,HMDB00696,6137.0,0.0417575723130205,0.0383185811385296,0.0473561542290769,347.0,0.922872340425532,376.0,3487,0.946525515743757,3684
69,424,Long Chain Fatty Acid,Lipid,palmitate (16:0),57-10-3,C00249,HMDB00220,985.0,0.122353711708561,0.0941766087346783,0.182107217557134,355.0,0.944148936170213,376.0,3516,0.954397394136808,3684
70,432,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,nicotinamide,98-92-0,C00153,HMDB01406,936.0,0.0947683033168539,0.0859350396673057,0.190198784990573,357.0,0.949468085106383,376.0,3521,0.955754614549403,3684
71,439,Long Chain Fatty Acid,Lipid,stearate (18:0),57-11-4,C01530,HMDB00827,5281.0,0.138161407724193,0.107532697737515,0.190212074947366,346.0,0.920212765957447,376.0,3521,0.955754614549403,3684
72,444,Urea cycle; Arginine and Proline Metabolism,Amino Acid,ornithine,3184-13-2,C00077,HMDB03374,6262.0,0.0558694815134067,0.052803359025168,0.124186680442739,346.0,0.920212765957447,376.0,3467,0.941096634093377,3684
73,445,"Pyrimidine Metabolism, Orotate containing",Nucleotide,orotate,50887-69-9,C00295,HMDB00226,967.0,0.0612946712073638,0.0504662436520848,0.118225713170816,350.0,0.930851063829787,376.0,3506,0.951682953311618,3684
74,452,Long Chain Fatty Acid,Lipid,palmitoleate (16:1n7),373-49-9,C08362,HMDB03229,445638.0,0.14809508948253,0.105715329677112,0.250609356383682,349.0,0.928191489361702,376.0,3448,0.935939196525516,3684
75,460,Phenylalanine and Tyrosine Metabolism,Amino Acid,phenylalanine,63-91-2,C00079,HMDB00159,6140.0,0.0415711051537148,0.0371903280084645,0.0499361760921644,347.0,0.922872340425532,376.0,3526,0.957111834961998,3684
76,461,Oxidative Phosphorylation,Energy,phosphate,7664-38-2,C00009,HMDB01429,1061.0,0.110894744090352,0.0806699332866745,0.130516393738942,352.0,0.936170212765957,376.0,3469,0.941639522258415,3684
77,480,Urea cycle; Arginine and Proline Metabolism,Amino Acid,proline,147-85-3,C00148,HMDB00162,145742.0,0.0471019506208725,0.0410339794402211,0.063285293169489,343.0,0.912234042553191,376.0,3475,0.943268186753529,3684
78,482,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,lactate,79-33-4,C00186,HMDB00190,612.0,0.0484452781933279,0.0449338316955581,0.128440716775078,348.0,0.925531914893617,376.0,3475,0.943268186753529,3684
79,491,Vitamin B6 Metabolism,Cofactors and Vitamins,pyridoxal,65-22-5,C00250,HMDB01545,1050.0,0.150995742027978,0.0875488005131702,0.284915263564525,327.0,0.86968085106383,376.0,3210,0.871335504885994,3684
80,498,Vitamin A Metabolism,Cofactors and Vitamins,retinol (Vitamin A),68-26-8,C00473,HMDB00305,445354.0,0.0857889151091577,0.0591120047315583,0.117497664367685,348.0,0.925531914893617,376.0,3496,0.948968512486428,3684
81,501,Drug,Xenobiotics,salicylate,69-72-7,C00805,HMDB01895,338.0,0.0547545971368496,0.0416970200149298,0.194172000222315,348.0,0.925531914893617,376.0,3410,0.925624321389794,3684
82,503,"Glycine, Serine and Threonine Metabolism",Amino Acid,serine,56-45-1,C00065,HMDB00187,5951.0,0.0425206627753637,0.0389489511631141,0.0545811010216262,358.0,0.952127659574468,376.0,3510,0.952768729641694,3684
83,504,Tryptophan Metabolism,Amino Acid,serotonin,153-98-0,C00780,HMDB00259,5202.0,0.122200713014972,0.105491296638361,0.402985043781199,353.0,0.938829787234043,376.0,3333,0.904723127035831,3684
84,512,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,taurine,107-35-7,C00245,HMDB00251,1123.0,0.0394970564397229,0.0383243121228935,0.0847713498472617,345.0,0.917553191489362,376.0,3515,0.954125950054289,3684
